grcode1,name1,detail of group 1,grcode2,name2,detail of group 2,grcode3,name3,detail of group 3,grcode4,name4,detail of group 4,no,generic name,syn name,detail of generic name,ประเภทยา,dosage,ED,คำแนะนำ,เงื่อนไข,คำเตือนและข้อควรระวัง,หมายเหตุ,Footnote,link file,Code ฉ.67,edit
1,Gastro-intestinal system ,,1,"Antacids and other drugs for dyspepsia
",,,,,,,,1,Aluminium hydroxide + Magnesium hydroxide,,,,"chewable tab, tab, susp, susp (hosp)",ก,,,,,,,S,
1,Gastro-intestinal system ,,1,"Antacids and other drugs for dyspepsia
",,,,,,,,2,Simeticone,Simethicone,,,"chewable tab, susp",ก,,,,,,,S,
1,Gastro-intestinal system ,,1,"Antacids and other drugs for dyspepsia
",,,,,,,,3,Aluminium hydroxide + Magnesium hydroxide + Simeticone 25-50 mg,,,,"chewable tab, tab, susp",ก,,,,,,,S,
1,Gastro-intestinal system ,,1,"Antacids and other drugs for dyspepsia
",,,,,,,,4,Compound Cardamom Mixture เฉพาะสูตรที่ไม่มี sodium bicarbonate,Mist Carminative,,,"mixt, mixt (hosp)",ก,,,,,,,S,
1,Gastro-intestinal system ,,1,"Antacids and other drugs for dyspepsia
",,,,,,,,5,Aluminium hydroxide ,,,,"chewable tab, tab, susp, susp (hosp)",ข,,,,,,,S,
1,Gastro-intestinal system ,,2,Antispasmodics and other drugs altering gut motility,,,,,,,,1,Dicycloverine hydrochloride,Dicyclomine hydrochloride  ,,,tab,ก,,,,,,,S,
1,Gastro-intestinal system ,,2,Antispasmodics and other drugs altering gut motility,,,,,,,,2,Domperidone,,,,"tab (as base/maleate), susp (as base/maleate)",ก,,,ควรใช้ด้วยความระมัดระวังในผู้ป่วยอายุมากกว่า 80 ปี และไม่ใช้ยาขนาดเกินกว่า 30 mg ต่อวัน,,,,S,
1,Gastro-intestinal system ,,2,Antispasmodics and other drugs altering gut motility,,,,,,,,3,Hyoscine butylbromide,Hyoscine-n-butylbromide,,,"tab, syr, sterile sol",ก,,,,,,,S,
1,Gastro-intestinal system ,,2,Antispasmodics and other drugs altering gut motility,,,,,,,,4,Metoclopramide ,,,,"tab, syr, sterile sol",ก,,,,,,,S,
1,Gastro-intestinal system ,,2,Antispasmodics and other drugs altering gut motility,,,,,,,,5,Mebeverine hydrochloride,,,,tab,ข,,,,,,,S,
1,Gastro-intestinal system ,,3,Ulcer-healing drugs and drugs used in variceal bleeding,,,,,,,,1,Omeprazole,,,,EC cap (as base),ก,,,,,,,S,
1,Gastro-intestinal system ,,3,Ulcer-healing drugs and drugs used in variceal bleeding,,,,,,,,2,Famotidine,,,,tab (เฉพาะ 20 mg),ก,"คำแนะนำ
1. ใช้กรณีผู้ป่วย functional dyspepsia (FD) 
2. ใช้เสริมยาลดกรดมาตรฐานเพื่อรักษาผู้ป่วยที่มีอาการของกรดไหลย้อน",,,,,,S,
1,Gastro-intestinal system ,,3,Ulcer-healing drugs and drugs used in variceal bleeding,,,,,,,,3,Omeprazole sodium,,,,sterile pwdr,ข,,,ห้ามให้ทางหลอดเลือดดำนานเกินกว่า 30 นาที,,,,S,
1,Gastro-intestinal system ,,3,Ulcer-healing drugs and drugs used in variceal bleeding,,,,,,,,4,Pantoprazole sodium,,,,sterile pwdr,ค,,,,,,,S,
1,Gastro-intestinal system ,,3,Ulcer-healing drugs and drugs used in variceal bleeding,,,,,,,,5,Sucralfate,,,,"tab, susp",ค,,ใช้เฉพาะกรณีหญิงตั้งครรภ์ ,,,,,S,
1,Gastro-intestinal system ,,3,Ulcer-healing drugs and drugs used in variceal bleeding,,,,,,,,6,Bismuth  subsalicylate,,,,tab,ง,,"1. ใช้เป็น second-line drug  ในการกำจัด H.pyroli
2. ห้ามใช้ในเด็กอายุน้อยกว่า 12 ปี",,,,,S,
1,Gastro-intestinal system ,,3,Ulcer-healing drugs and drugs used in variceal bleeding,,,,,,,,7,Lauromacrogol 400 ,Polidocanol,,,sterile sol ,ง,,"1. ใช้ช่วยห้าม variceal bleeding ผ่านทาง endoscopy และใช้สำหรับ sclerotherapy
2. ใช้สำหรับ varicose vein และ hemorrhoid",,,,,S,
1,Gastro-intestinal system ,,3,Ulcer-healing drugs and drugs used in variceal bleeding,,,,,,,,8,Octreotide acetate,,,,sterile sol (เฉพาะ 0.1 mg/ 1 ml ) ยกเว้นชนิดออกฤทธิ์นาน,ง,,"1.  ใช้สำหรับ high output pancreatic fistula
2.  ใช้สำหรับ variceal bleeding โดยใช้ร่วมกับ therapeutic endoscopic intervention
3.  ใช้ในกรณี bleeding ที่มีหลักฐานว่าเป็นภาวะเลือดออกจาก portal hypertensive gastropathy
4.  ใช้สำหรับ neuroendocrine tumors ",,,,,S,
1,Gastro-intestinal system ,,4,Drugs used in acute diarrhea,,,,,,,,1,Oral rehydration salts ,ORS,"เมื่อผสมน้ำแล้วมีตัวยาสำคัญต่อลิตร ดังนี้    
- Sodium chloride                  2.6 g  
- Trisodium citrate dihydrate   2.9 g
- Potassium chloride             1.5 g
- Glucose                           13.5 g
และมี  molar concentration ต่อลิตรดังนี้   
- Glucose       75 mEq
- Sodium        75 mEq 
- Chloride       65 mEq 
- Potassium   20 mEq 
- Citrate         10 mmol
- Osmolarity 245 mOsm",,"oral pwdr, oral pwdr (hosp)",ก,การชดเชยสารน้ำและเกลือแร่เป็นเป้าหมายสำคัญในการรักษาโรคท้องร่วงเฉียบพลัน การใช้ยาต้านแบคทีเรียในผู้ป่วยส่วนใหญ่เป็นสิ่งไม่จำเป็นและควรหลีกเลี่ยง,,,,,,S,
1,Gastro-intestinal system ,,4,Drugs used in acute diarrhea,,,,,,,,2,Zinc sulfate,,,,oral sol (hosp),ก,"พิจารณาให้ธาตุสังกะสี ขนาด 20 mg ต่อวัน เป็นการรักษาเสริมในโรคท้องร่วงเฉียบพลัน ในทารกและเด็กอายุมากกว่า 6 เดือน ถึง 5 ปี ที่สงสัยมีภาวะพร่องธาตุสังกะสีหรือมีภาวะทุพโภชนาการอยู่ก่อน เป็นเวลานาน 10-14 วัน
",,,,,,S,
1,Gastro-intestinal system ,,4,Drugs used in acute diarrhea,,,,,,,,3,Loperamide hydrochloride,,,,"cap, tab",ข,,ไม่ใช้กับเด็กอายุน้อยกว่า 12 ปี,,,,,S,
1,Gastro-intestinal system ,,5,Drugs used in chronic bowel disorders,,,,,,,,1,Mesalazine,Mesalamine,,,"EC tab, SR tab, enema, rectal supp ",ค,,"1. ชนิดเม็ด ใช้เป็นทางเลือกของ sulfasalazine ในกรณีผู้ป่วยแพ้ยากลุ่มซัลฟา หรือต้องการลดอาการข้างเคียง
จากการใช้ยา
2.  ชนิดเหน็บทวารหนัก (suppository) ใช้สำหรับ mild to moderate ulcerative proctitis และ radiation  proctitis
3. ชนิดสวนทวารหนัก (enema) ใช้สำหรับ mild to moderate ulcerative colitis บริเวณ left-sided colon",,,,,S,
1,Gastro-intestinal system ,,5,Drugs used in chronic bowel disorders,,,,,,,,2,Sulfasalazine,,,," tab, EC tab",ค,,ใช้สำหรับ chronic inflammatory bowel disease ,,,,,S,
1,Gastro-intestinal system ,,5,Drugs used in chronic bowel disorders,,,,,,,,3,Infliximab,,,,sterile pwdr (เฉพาะ 100 mg),จ(2),,"1. ใช้สำหรับผู้ป่วย  Crohn’s disease (CD) ในผู้ใหญ่หรือเด็กอายุตั้งแต่ 6 ปีขึ้นไป ที่รักษาด้วยยาพื้นฐานไม่ได้ โดยมีแนวทางกำกับการใช้ยาเป็นไปตามรายละเอียดในภาคผนวก 3
2. ใช้สำหรับผู้ป่วย Ulcerative colitis (UC) ในเด็กอายุตั้งแต่ 6 ปีขึ้นไป ที่รักษาด้วยยาพื้นฐานไม่ได้ โดยมีแนวทางกำกับการใช้ยาเป็นไปตามรายละเอียดในภาคผนวก 3
",,,,,C5,ยกเลิกหมายเหตุ
1,Gastro-intestinal system ,,6,Laxatives ,,,,,,,,1,Bisacodyl,,,,"EC tab, rectal supp",ก,,,,,,,S,
1,Gastro-intestinal system ,,6,Laxatives ,,,,,,,,2,Castor oil,,,,oil,ก,,,,,,,S,
1,Gastro-intestinal system ,,6,Laxatives ,,,,,,,,3,Glycerol,,,,rectal supp,ก,,,,,,,S,
1,Gastro-intestinal system ,,6,Laxatives ,,,,,,,,4,Ispaghula Husk (Psyllium Husk),,,,"powder for oral suspension, granules for oral suspension",ก,,,,,,,S,
1,Gastro-intestinal system ,,6,Laxatives ,,,,,,,,5,Magnesium hydroxide,,,,"tab, susp, susp (hosp)",ก,,,,,,,S,
1,Gastro-intestinal system ,,6,Laxatives ,,,,,,,,6,Magnesium sulfate,,,,"mixt, mixt (hosp), sol, sol (hosp)",ก,,,,,,,S,
